"Order status processing","Zpracovávání stavu objednávky"
"Order cancelled due to failed transaction","Platba zrušena kvůli neúspěšné transakci"
"Communication with payment gateway failed","Komunikace s platební bránou se nezdařila"
"Order cancelled due to failed transaction","Platba zrušena kvůli neúspěšné transakci"
"Merchant Transaction Details not found for this order.","Údaje k transakci s obchodníkem nebyly pro tuto objednávku nalezeny."
"IPG redirect","Přesměrování IPG"
"Order status processing","Zpracovávání stavu objednávky"
"Payment completed successfully.","Platba proběhla úspěšně."
"Order cancelled due to failed transaction","Platba zrušena kvůli neúspěšné transakci"
"Payment is pending","Platba čeká na provedení"
"Oops some error occur, Please contact to seller","Ouha, došlo k nějaké chybě, kontaktujte prosím prodejce"
"Error in receiving token.","Chyba při získávání tokenu."
"Merchant Transaction Details not found for this order.","Údaje k transakci s obchodníkem nebyly pro tuto objednávku nalezeny."
"Error getting during refund payment, please try later again","Chyba během vracení částky, prosím zkuste to znovu později"
"Error getting payment tokens from gateway, please try later again","Chyba při získávání platebních tokenů z platební brány, prosím zkuste to znovu později"
"Your order has been Cancelled due to failed transaction. Please try again","Vaše objednávka byla zrušena kvůli neúspěšné transakci. Prosím zkuste to znovu"
"Click here to continue","Pokračujte kliknutím sem"
"Nethosted Intelligent Gateway","Inteligentní platební brána hostovaná na síti"
"Enabled","Povoleno"
"Merchant API Key","Klíč API obchodníka"
"Merchant API Password","Heslo API obchodníka"
"Merchant Brand Id","ID značky obchodníka"
"Sandbox","Sandbox"
"Token Test URL","Testovací URL tokenu"
"Token Live URL","Live URL tokenu"
"Cashier Test URL","Testovací URL pokladníka"
"Cashier Live URL","Live URL pokladníka"
"Refund Test URL","Testovací URL vrácené platby"
"Refund Live URL","Live URL vrácené platby"
"New Order Status","Stav nové objednávky"
"Country","Země"
"Currency","Měna"
"Sort Order","Třídit objednávky"
