"Order status processing","Bestellstatus wird verarbeitet"
"Order cancelled due to failed transaction","Bestellung wegen fehlgeschlagener Transaktion abgebrochen"
"Communication with payment gateway failed","Verbindung zu Zahlungs-Gateway fehlgeschlagen"
"Order cancelled due to failed transaction","Bestellung wegen fehlgeschlagener Transaktion abgebrochen"
"Merchant Transaction Details not found for this order.","Für diese Bestellung konnten keine Händlertransaktionsdetails gefunden werden."
"IPG redirect","IPG weitersenden"
"Order status processing","Bestellstatus wird verarbeitet"
"Payment completed successfully.","Zahlungsvorgang erfolgreich abgeschlossen."
"Order cancelled due to failed transaction","Bestellung wegen fehlgeschlagener Transaktion abgebrochen"
"Payment is pending","Ausstehende Zahlung"
"Oops some error occur, Please contact to seller","Hoppla! Es ist ein Fehler aufgetreten. Bitte kontaktieren Sie den Händler"
"Error in receiving token.","Fehler beim Token-Empfang"
"Merchant Transaction Details not found for this order.","Für diese Bestellung konnten keine Händlertransaktionsdetails gefunden werden."
"Error getting during refund payment, please try later again","Fehler bei der Rückerstattung, bitte versuchen Sie es zu einem späteren Zeitpunkt noch einmal"
"Error getting payment tokens from gateway, please try later again","Gateway-Fehler bei Token-Zahlung, bitte versuchen Sie es zu einem späteren Zeitpunkt noch einmal"
"Your order has been Cancelled due to failed transaction. Please try again","Ihre Bestellung wurde auf Grund einer fehlgeschlagenen Transaktion abgebrochen. Bitte versuchen Sie es erneut"
"Click here to continue","Klicken Sie hier um fortzufahren"
"Nethosted Intelligent Gateway","Online Intelligent Gateway"
"Enabled","Aktiviert"
"Merchant API Key","Händler API-Schlüssel"
"Merchant API Password","Händler API-Passwort"
"Merchant Brand Id","Händler Markenkennung"
"Sandbox","Sandbox"
"Token Test URL","Token-Test-URL"
"Token Live URL","Token-Live-URL"
"Cashier Test URL","Kassen-Test-URL"
"Cashier Live URL","Kassen-Live-URL"
"Refund Test URL","Rückerstattungs-Test-URL"
"Refund Live URL","Rückerstattungs-Live-URL"
"New Order Status","Neuer Bestellstatus"
"Country","Land"
"Currency","Währung"
"Sort Order","Bestellung sortieren"
