"Order status processing","Order status processing"
"Order cancelled due to failed transaction","Order cancelled due to failed transaction"
"Communication with payment gateway failed","Communication with payment gateway failed"
"Order cancelled due to failed transaction","Order cancelled due to failed transaction"
"Merchant Transaction Details not found for this order.","Merchant Transaction Details not found for this order."
"IPG redirect","IPG redirect"
"Order status processing","Order status processing"
"Payment completed successfully.","Payment completed successfully."
"Order cancelled due to failed transaction","Order cancelled due to failed transaction"
"Payment is pending","Payment is pending"
"Oops some error occur, Please contact to seller","Oops some error occur, Please contact to seller"
"Error in receiving token.","Error in receiving token."
"Merchant Transaction Details not found for this order.","Merchant Transaction Details not found for this order."
"Error getting during refund payment, please try later again","Error getting during refund payment, please try later again"
"Error getting payment tokens from gateway, please try later again","Error getting payment tokens from gateway, please try later again"
"Your order has been Cancelled due to failed transaction. Please try again","Your order has been Cancelled due to failed transaction. Please try again"
"Click here to continue","Click here to continue"
"Nethosted Intelligent Gateway","Nethosted Intelligent Gateway"
"Enabled","Enabled"
"Merchant API Key","Merchant API Key"
"Merchant API Password","Merchant API Password"
"Merchant Brand Id","Merchant Brand Id"
"Sandbox","Sandbox"
"Token Test URL","Token Test URL"
"Token Live URL","Token Live URL"
"Cashier Test URL","Cashier Test URL"
"Cashier Live URL","Cashier Live URL"
"Refund Test URL","Refund Test URL"
"Refund Live URL","Refund Live URL"
"New Order Status","New Order Status"
"Country","Country"
"Currency","Currency"
"Sort Order","Sort Order"
