"Order status processing","Traitement du statut de la commande"
"Order cancelled due to failed transaction","Commande annulée en raison de l'échec de la transaction"
"Communication with payment gateway failed","La communication avec la passerelle de paiement a échoué"
"Order cancelled due to failed transaction","Commande annulée en raison de l'échec de la transaction"
"Merchant Transaction Details not found for this order.","Détails de transaction du commerçant introuvables pour cette commande"
"IPG redirect","Redirection IPG"
"Order status processing","Traitement du statut de la commande"
"Payment completed successfully.","Paiement effectué avec succès."
"Order cancelled due to failed transaction","Commande annulée en raison de l'échec de la transaction"
"Payment is pending","Paiement en attente"
"Oops some error occur, Please contact to seller","Oups, une erreur est survenue, veuillez contacter le vendeur"
"Error in receiving token.","Erreur lors de l'obtention du token."
"Merchant Transaction Details not found for this order.","Détails de transaction du marchand introuvables pour cette commande."
"Error getting during refund payment, please try later again","Erreur lors du remboursement, veuillez réessayer plus tard"
"Error getting payment tokens from gateway, please try later again","Erreur lors de l'obtention du token de paiement depuis la passerelle, veuillez réessayer plus tard"
"Your order has been Cancelled due to failed transaction. Please try again","Votre commande a été annulée en raison de l'échec de la transaction, veuillez réessayer"
"Click here to continue","Cliquer ici pour continuer"
"Nethosted Intelligent Gateway","Passerelle Nethosted Intelligent"
"Enabled","Activé"
"Merchant API Key","Clé d'accès API commerçant"
"Merchant API Password","Mot de passe API commerçant"
"Merchant Brand Id","ID marque commerçant"
"Sandbox","Sandbox"
"Token Test URL","URL de Token de test"
"Token Live URL","URL de Token d'activation"
"Cashier Test URL","URL de test d'encaissement"
"Cashier Live URL","URL d'activation d'encaissement"
"Refund Test URL","URL de test de remboursement"
"Refund Live URL","URL d'activation de remboursement"
"New Order Status","Nouveau statut de la commande"
"Country","Pays"
"Currency","Devise"
"Sort Order","Tri"
