"Order status processing","Rendelés állapota feldolgozás alatt"
"Order cancelled due to failed transaction","Sikertelen tranzakció miatt a rendelés megszakítva"
"Communication with payment gateway failed","Sikertelen kommunikáció a fizetési átjáróval"
"Order cancelled due to failed transaction","Sikertelen tranzakció miatt a rendelés megszakítva"
"Merchant Transaction Details not found for this order.","Nem találhatók a kereskedő rendeléshez tartozó tranzakciójának részletei."
"IPG redirect","IPG-átirányítás"
"Order status processing","Rendelés állapota feldolgozás alatt"
"Payment completed successfully.","Fizetés sikeresen teljesítve."
"Order cancelled due to failed transaction","Sikertelen tranzakció miatt a rendelés megszakítva"
"Payment is pending","Fizetés függőben"
"Oops some error occur, Please contact to seller","Hoppá, úgy tűnik hiba történt, kérjük, értesítse az eladót"
"Error in receiving token.","Hiba a token fogadása közben."
"Merchant Transaction Details not found for this order.","Nem találhatók a kereskedő rendeléshez tartozó tranzakciójának részletei."
"Error getting during refund payment, please try later again","Hiba történt a visszatérítés során, kérjük, próbálkozzon később"
"Error getting payment tokens from gateway, please try later again","Hiba történt a kifizetéstokenek átjárótól történő lekérése során, kérjük, próbálkozzon később"
"Your order has been Cancelled due to failed transaction. Please try again","Sikertelen tranzakció miatt a rendelést megszakítottuk. Kérjük, próbálja újra"
"Click here to continue","A folytatáshoz kattintson ide"
"Nethosted Intelligent Gateway","Netről üzemeltetett intelligens átjáró"
"Enabled","Engedélyezve"
"Merchant API Key","Kereskedő API-kulcsa"
"Merchant API Password","Kereskedő API-jelszava"
"Merchant Brand Id","Kereskedő márkaazonosítója"
"Sandbox","Védőfal"
"Token Test URL","Token teszt URL-cím"
"Token Live URL","Token éles URL-cím"
"Cashier Test URL","Pénztáros teszt URL-cím"
"Cashier Live URL","Pénztáros éles URL-cím"
"Refund Test URL","Visszatérítés teszt URL-cím"
"Refund Live URL","Visszatérítés éles URL-cím"
"New Order Status","Új rendelési állapot"
"Country","Ország"
"Currency","Pénznem"
"Sort Order","Rendelés rendezése"
