"Order status processing","Przetwarzanie stanu zamówienia"
"Order cancelled due to failed transaction","Zamówienie anulowane z powodu nieudanej transakcji"
"Communication with payment gateway failed","Komunikacja z bramą płatności nie powiodła się"
"Order cancelled due to failed transaction","Zamówienie anulowane z powodu nieudanej transakcji"
"Merchant Transaction Details not found for this order.","Nie znaleziono Szczegółów transakcji kupieckiej dla tego zamówienia."
"IPG redirect","Przekierowanie IPG"
"Order status processing","Przetwarzanie stanu zamówienia"
"Payment completed successfully.","Płatność została zakończona pomyślnie."
"Order cancelled due to failed transaction","Zamówienie anulowane z powodu nieudanej transakcji"
"Payment is pending","Płatność jest w toku"
"Oops some error occur, Please contact to seller","Upss, wystąpił błąd, skontaktuj się ze sprzedawcą"
"Error in receiving token.","Błąd w pobieraniu tokena."
"Merchant Transaction Details not found for this order.","Nie znaleziono Szczegółów transakcji kupieckiej dla tego zamówienia."
"Error getting during refund payment, please try later again","Błąd podczas pobierania zwrotu płatności, spróbuj ponownie później"
"Error getting payment tokens from gateway, please try later again","Błąd podczas pobierania tokenów płatności z bramy, spróbuj ponownie później"
"Your order has been Cancelled due to failed transaction. Please try again","Zamówienie zostało anulowane z powodu nieudanej transakcji. Spróbuj ponownie"
"Click here to continue","Kliknij tutaj, aby kontynuować"
"Nethosted Intelligent Gateway","Brama inteligentna hostowana w sieci"
"Enabled","Włączone"
"Merchant API Key","Klucz API kupca"
"Merchant API Password","Hasło API kupca"
"Merchant Brand Id","ID marki kupca"
"Sandbox","Piaskownica"
"Token Test URL","URL testowy tokenu"
"Token Live URL","URL na żywo tokenu"
"Cashier Test URL","URL testowy kasjera"
"Cashier Live URL","URL na żywo kasjera"
"Refund Test URL","URL testowy zwrotu"
"Refund Live URL","URL na żywo zwrotu"
"New Order Status","Nowy stan zamówienia"
"Country","Kraj"
"Currency","Waluta"
"Sort Order","Kolejność sortowania"
